528af3b0098e718059000ab5,名爵(上汽) 名爵 1.3L 03/11 -> ,W 712/55,,52a89bb0098e71b2e5000be5,上海汽车名爵 名爵3 MG3 11款1.3L 2011-
528af3b0098e718059000ab9,名爵(上汽) 名爵 1.5L 03/11 -> ,W 712/55,,52a89bb0098e71b2e5000be7,上海汽车名爵 名爵3 MG3 11款1.5L 2011-
52945549098e7144f90006e3,名爵(上汽) 名爵 1.3L 03/11->
52945549098e7144f90006e6,名爵(上汽) 名爵 1.5L 03/11->
528af3b0098e718059000ac0,名爵(上汽) 名爵 1.4L 02/08 -> 02/11,W 713/28
528af3b0098e718059000ac8,名爵(上汽) 名爵 1.8L 06/08 -> 03/10,W 713/28
528af3b0098e718059000ad3,名爵(上汽) 名爵 1.5L 03/12 -> ,W 712/55
5294554a098e7144f90006f3,名爵(上汽) 名爵 1.5L 03/12->
528af3b1098e718059000ada,名爵(上汽) 名爵 1.8 DVVT 12/09 -> ,W 713/28
528af3b1098e718059000ae4,名爵(上汽) 名爵 1.8T 12/09 -> ,W 713/28
528af3b1098e718059000af1,名爵(上汽) 名爵 1.8L 08/07 -> 12/10,W 713/28
528af3b1098e718059000af9,名爵(上汽) 名爵 1.8T 07/07 -> ,W 713/28
528af3b1098e718059000b01,名爵(上汽) 名爵 2.5L 07/07 -> 
528af3b1098e718059000b0a,名爵(上汽) 名爵 1.8T 09/08 -> ,W 713/28
528af3b1098e718059000b12,名爵(上汽) 名爵 2.5L 08/07 -> 12/10
5294554a098e7144f900071a,名爵(上汽) 名爵 1.8T 09/08->
