528af3e9098e718059002300,斯柯达(上海大众) 晶锐 1.4L 12/08 -> ,HU 712/6 x,,52a89b0a098e71b2e500012e,上海大众斯柯达 晶锐 08款 1.4L 2008.12-,HU 712/6 x
528af3e9098e71805900230a,斯柯达(上海大众) 晶锐 1.6L 12/08 -> ,HU 712/6 x,,52a89b0b098e71b2e500012f,上海大众斯柯达 晶锐 08款 1.6L 2008.12-,HU 712/6 x
528af3e9098e718059002317,斯柯达(上海大众) 明锐 1.4 TSI 04/10 -> ,W 712/90,,52a89b09098e71b2e500012a,上海大众斯柯达 明锐 10款11款 1.4TSI 2010-,W 712/90
528af3e9098e718059002321,斯柯达(上海大众) 明锐 1.6L 06/07 -> ,HU 712/6 x,,52a89b07098e71b2e5000125,上海大众斯柯达 明锐  1.6L 2007.01-2009.04,HU 712/6 x
528af3e9098e71805900232b,斯柯达(上海大众) 明锐 1.8 TSI 06/07 -> ,W 719/45,,52a89b08098e71b2e5000126,上海大众斯柯达 明锐  1.8TSI 2007-,W 719/45
528af3e9098e718059002335,斯柯达(上海大众) 明锐 2.0MPI 01/07 -> ,W 719/30,,52a89b08098e71b2e5000127,上海大众斯柯达 明锐  2.0L MPI 2007-,W 719/30
528af3e9098e718059002342,斯柯达(上海大众) 明锐 2.0 TSI 04/10 -> ,W 719/45
528af3ea098e71805900234f,斯柯达(上海大众) 昕锐 1.4L 04/13 -> ,W 712/92
528af3ea098e718059002353,斯柯达(上海大众) 昕锐 1.6L 04/13 -> ,W 712/92
529455a4098e7144f9001680,斯柯达(上海大众) 昕锐 1.4L 04/13->
529455a4098e7144f9001683,斯柯达(上海大众) 昕锐 1.6L 04/13->
528af3ea098e71805900235a,斯柯达(上海大众) 昊锐 1.4 TSI 04/10 -> ,W 712/90,,52a89b0d098e71b2e5000137,上海大众斯柯达 昊锐  1.4TSI 2011-,W 712/90
528af3ea098e718059002364,斯柯达(上海大众) 昊锐 1.8 TSI 08/09 -> ,W 719/45,,52a89b0d098e71b2e5000135,上海大众斯柯达 昊锐  1.8TSI 2009-,W 719/45
528af3ea098e71805900236e,斯柯达(上海大众) 昊锐 2.0 TSI 08/09 -> ,W 719/45,,52a89b0d098e71b2e5000136,上海大众斯柯达 昊锐  2.0TSI 2009-,W 719/45

,,,,52a89b09098e71b2e5000128,上海大众斯柯达 明锐 09款 1.6L 2009.05-2010,W 712/90
,,,,52a89b09098e71b2e5000129,上海大众斯柯达 明锐 10款RS 2.0T 2009-,W 719/45
,,,,52a89b0a098e71b2e500012b,上海大众斯柯达 明锐 10款11款 1.6L 2010-,W 712/90
,,,,52a89b0a098e71b2e500012c,上海大众斯柯达 明锐 12款 旅行车 2012-
,,,,52a89b0b098e71b2e5000130,上海大众斯柯达 晶锐 09款 1.4L 2009.5-,W 712/90
,,,,52a89b0b098e71b2e5000131,上海大众斯柯达 晶锐 09款 1.6L 2009.5-,W 712/90
,,,,52a89b0c098e71b2e5000132,上海大众斯柯达 晶锐 10款11款12款 1.4L 2010-,W 712/90
,,,,52a89b0c098e71b2e5000133,上海大众斯柯达 晶锐 10款11款12款 1.6L 2010-,W 712/90
