528af411098e718059003420,比亚迪 F0 1.0L 09/08 -> ,W 67/2,,52a89b5d098e71b2e5000507,比亚迪汽车 F0  1.L 2008- ,W 67/2
528af411098e71805900342f,比亚迪 F3 1.5L 11/09 -> ,,,52a89b5e098e71b2e500050c,比亚迪汽车 F3  1.5L F,W 610/3
528af411098e718059003439,比亚迪 F3 1.6L 09/05 -> ,W 610/3,,52a89b5e098e71b2e500050c,比亚迪汽车 F3  1.5L F,W 610/3
528af411098e718059003441,比亚迪 F3 1.8L 09/05 -> ,W 610/3
529455e5098e7144f9002159,比亚迪 F3 1.5L 09/07->
528af411098e71805900344c,比亚迪 F3DM 1.0L 03/10 -> ,,,52a89b5e098e71b2e5000511,比亚迪汽车 F3 DM 1.0L 双模电动 2008-,W 610/3
528af411098e718059003453,比亚迪 F3R 1.5L 09/07 -> ,W 610/3,,52a89b5e098e71b2e5000510,比亚迪汽车 F3 R 1.5L 2007- ,W 610/3
528af412098e71805900345b,比亚迪 F3R 1.6L 09/07 -> ,,,52a89b5e098e71b2e500050f,比亚迪汽车 F3 R 1.6L 2007- ,W 610/3
529455e5098e7144f9002176,比亚迪 F3R 1.5L 08/09->
528af412098e718059003464,比亚迪 F6 2.0L 09/07 -> ,W 610/3
529455e5098e7144f9002181,比亚迪 F6 2.0L 09/07->,,,,比亚迪 F6 2.0L 09/07->
528af412098e71805900346b,比亚迪 福莱尔 0.9L 04/01 -> 08/05,W 67/2,,52a89b60098e71b2e500052c,比亚迪汽车 福莱尔  0.87L 2001-2005,W 67/2
528af412098e718059003471,比亚迪 福莱尔 1.1L 04/01 -> 08/05,W 67/2




,,,,52a89b5e098e71b2e5000513,比亚迪汽车 E6  纯电动车 2011
,,,,52a89b5f098e71b2e5000517,比亚迪汽车 F6  2.4L 2008-,W 610/3
,,,,52a89b5f098e71b2e5000519,比亚迪汽车 G3  1.5L 2009/2011,W 610/3
,,,,52a89b5f098e71b2e500051a,比亚迪汽车 G3  1.8L 2009/2011,W 610/3
,,,,52a89b5f098e71b2e500051b,比亚迪汽车 G3 R 1.5L 2011-
,,,,52a89b5f098e71b2e500051c,比亚迪汽车 G3 R 1.8L 2011-
,,,,52a89b5f098e71b2e500051e,比亚迪汽车 G6  1.5T 2011-
,,,,52a89b5f098e71b2e500051f,比亚迪汽车 G6  2.0L 2011-
,,,,52a89b5f098e71b2e5000521,比亚迪汽车 L3  1.8 2011-,W 610/3
,,,,52a89b60098e71b2e5000522,比亚迪汽车 L3  1.5 2011-
,,,,52a89b60098e71b2e5000524,比亚迪汽车 M6  2.0L 2010-
,,,,52a89b60098e71b2e5000525,比亚迪汽车 M6  2.4L 2010-
,,,,52a89b60098e71b2e5000527,比亚迪汽车 S6  2.0L 2011.05-
,,,,52a89b60098e71b2e5000528,比亚迪汽车 S6  2.4L 2011.05-
,,,,52a89b60098e71b2e500052a,比亚迪汽车 S8  2.0L 2009-
