52a89b3c098e71b2e5000297,雪佛兰（进口） 科帕奇 07款 2.4L 2007-,W 712/22,,528af43a098e7180590045b5,雪佛兰(进口) 科帕奇 2.4 06/06 -> 
52a89b3c098e71b2e5000298,雪佛兰（进口） 科帕奇 08款 2.4L 2008-,W 712/22
52a89b3d098e71b2e5000299,雪佛兰（进口） 科帕奇 08款 3.2L 2008-,,,528af43a098e7180590045b9,雪佛兰(进口) 科帕奇 3.2 V6 09/06 -> 
52a89b3d098e71b2e500029a,雪佛兰（进口） 科帕奇 10款 2.4L 2010-,W 712/22
52a89b3d098e71b2e500029b,雪佛兰（进口） 科帕奇 10款 3.2L 2010-
52a89b3d098e71b2e500029d,雪佛兰（进口） 科迈罗  3.6L 2009-
52a89b3d098e71b2e500029e,雪佛兰（进口） 科迈罗  6.2L 2009-
52a89b3d098e71b2e50002a0,雪佛兰（进口） 沃蓝达  1.4L电动车 2011-
52a89b3d098e71b2e50002a2,雪佛兰（进口） 斯帕可  1.0L 2011-
52a89b3d098e71b2e50002a4,雪佛兰（进口） 克尔维特C6  .2L 2009-
52a89b3d098e71b2e50002a6,雪佛兰（进口） 曼蒂斯  0.8L 2005.03-
52a89b3d098e71b2e50002a8,雪佛兰（进口） 可塞  1.7D 2000.8-2002.7
52a89b3d098e71b2e50002aa,雪佛兰（进口） 开拓者  2.4L两驱 2003-
52a89b3d098e71b2e50002ab,雪佛兰（进口） 开拓者  3.0L四驱 2003-
52a89b3d098e71b2e50002ac,雪佛兰（进口） 开拓者  4.3L四驱 2003-


,,,,528af43a098e7180590045c0,雪佛兰(进口) Tahoe 4.8 V8 12/99 -> 
,,,,528af43a098e7180590045c4,雪佛兰(进口) Tahoe 5.3 V8 12/99 -> 
,,,,5294561b098e7144f9002bba,雪佛兰(进口) Tahoe 4.8 V8 12/99->
